@relation DM_predicao_dataset

@attribute data date "dd/mm/yyyy"
@attribute dia {ter,qua,qui,sex,sab,dom,seg}
@attribute fluxo numeric

@data
02/08/2004,seg,13981
03/08/2004,ter,14341
04/08/2004,qua,14449
05/08/2004,qui,14284
06/08/2004,sex,14320
07/08/2004,sab,12613
08/08/2004,dom,11414
09/08/2004,seg,14157
10/08/2004,ter,14504
11/08/2004,qua,14301
12/08/2004,qui,14222
13/08/2004,sex,14268
14/08/2004,sab,13176
15/08/2004,dom,11943
16/08/2004,seg,14421
17/08/2004,ter,14761
18/08/2004,qua,14862
19/08/2004,qui,14717
20/08/2004,sex,14660
21/08/2004,sab,13183
22/08/2004,dom,11859
23/08/2004,seg,14215
24/08/2004,ter,14502
25/08/2004,qua,14702
26/08/2004,qui,14723
27/08/2004,sex,14722
28/08/2004,sab,13348
29/08/2004,dom,12173
30/08/2004,seg,14672
31/08/2004,ter,14878
01/09/2004,qua,14540
02/09/2004,qui,14708
03/09/2004,sex,14629
04/09/2004,sab,13274
05/09/2004,dom,12115
06/09/2004,seg,13898
07/09/2004,ter,12370
08/09/2004,qua,14663
09/09/2004,qui,14864
10/09/2004,sex,14879
11/09/2004,sab,13673
12/09/2004,dom,12071
13/09/2004,seg,14217
14/09/2004,ter,14655
15/09/2004,qua,15056
16/09/2004,qui,14846
17/09/2004,sex,14706
18/09/2004,sab,13426
19/09/2004,dom,12223
20/09/2004,seg,14798
21/09/2004,ter,15161
22/09/2004,qua,15144
23/09/2004,qui,15132
24/09/2004,sex,15245
25/09/2004,sab,13657
26/09/2004,dom,12292
27/09/2004,seg,14668
28/09/2004,ter,14841
29/09/2004,qua,14828
30/09/2004,qui,14726
01/10/2004,sex,14480
02/10/2004,sab,13426
03/10/2004,dom,12013
04/10/2004,seg,14287
05/10/2004,ter,14894
06/10/2004,qua,14968
07/10/2004,qui,14915
08/10/2004,sex,15022
09/10/2004,sab,13673
10/10/2004,dom,12210
11/10/2004,seg,14439
12/10/2004,ter,12934
13/10/2004,qua,15366
14/10/2004,qui,15553
15/10/2004,sex,15502
16/10/2004,sab,14161
17/10/2004,dom,12595
18/10/2004,seg,15129
19/10/2004,ter,15386
20/10/2004,qua,15282
21/10/2004,qui,15271
22/10/2004,sex,15155
23/10/2004,sab,13809
24/10/2004,dom,12362
25/10/2004,seg,14237
26/10/2004,ter,15042
27/10/2004,qua,14664
28/10/2004,qui,14743
29/10/2004,sex,14955
30/10/2004,sab,13577
31/10/2004,dom,12186
01/11/2004,seg,13974
02/11/2004,ter,11575
03/11/2004,qua,14574
04/11/2004,qui,14874
05/11/2004,sex,15007
06/11/2004,sab,13800
